Iid,Description,Price,Ship,Qoh,Did
char3,char15,currency,currency,integer,char3
I01,Shirt,54,12,42,D04
I02,Shirt,83,15,92,D04
I03,Dress,181,8,48,D04
I04,Pants,48,13,4,D04
I05,Sweater,79,16,35,D04
I06,Jacket,77,20,85,D04
I07,Pants,52,14,14,D04
I08,Dress,82,14,26,D04
I09,Suit,196,2,37,D04
I10,Shoes,48,20,93,D04
I11,Coat,141,5,27,D04
I12,Dress,119,9,62,D04
I13,Jacket,114,3,92,D04
I14,Shoes,85,7,79,D04
I15,Sandals,40,12,96,D04
I16,Glasses,19,13,73,D05
I17,CoffeeMaker,151,20,36,D05
I18,Blender,110,6,2,D05
I19,Toaster,49,7,58,D05
I20,Plates,31,13,38,D05
I21,Blender,187,13,2,D05
I22,Pans,162,14,85,D05
I23,Pots,167,7,10,D05
I24,Cutlery,52,4,94,D05
I25,CoffeeMaker,104,1,41,D05
I26,Mixer,187,18,1,D05
I27,Mixer,105,15,14,D05
I28,Plates,44,7,70,D05
I29,Cutlery,85,10,84,D05
I30,Glasses,18,13,7,D05
I31,HardDisk,134,13,43,D06
I32,Tablet,156,20,83,D06
I33,Switch,26,5,75,D06
I34,Printer,133,7,10,D06
I35,Printer,115,12,1,D06
I36,Telephone,158,15,42,D06
I37,Charger,26,5,2,D06
I38,Tablet,195,7,77,D06
I39,HardDisk,104,7,89,D06
I40,Camera,148,2,11,D06
I41,Cable,12,2,10,D06
I42,Camera,187,16,78,D06
I43,Router,74,16,90,D06
I44,Telephone,169,10,51,D06
I45,Earphones,30,10,6,D06
I46,Earphones,77,13,95,D07
I47,Lock,48,13,82,D07
I48,Pliers,7,14,91,D07
I49,LawnMower,188,19,73,D07
I50,Screwdriver,9,2,57,D07
I51,Sink,102,15,41,D07
I52,Saw,50,5,26,D07
I53,Sink,142,10,22,D07
I54,LawnMower,146,2,94,D07
I55,Faucet,84,20,34,D07
I56,Hammer,19,3,60,D07
I57,Drill,156,4,11,D07
I58,Sander,56,11,82,D07
I59,Saw,61,3,36,D07
I60,Drill,188,2,94,D07
