Sid,Iid,Cost
char3,char3,currency
S01,I24,36
S01,I52,30
S01,I44,85
S01,I58,45
S01,I59,49
S01,I55,117
S02,I60,132
S02,I39,52
S02,I17,121
S02,I01,38
S03,I03,91
S03,I09,118
S03,I27,63
S03,I18,66
S03,I13,80
S03,I55,67
S03,I15,6
S03,I47,34
S04,I25,52
S04,I56,13
S04,I57,125
S04,I37,13
S05,I12,95
S05,I51,25
S05,I07,42
S05,I09,137
S05,I04,34
S06,I33,10
S06,I46,46
S06,I31,67
S06,I43,37
S07,I27,95
S07,I53,114
S07,I07,6
S07,I31,67
S07,I10,14
S08,I26,37
S08,I17,60
S08,I21,56
S08,I33,21
S09,I51,92
S09,I38,59
S09,I53,71
S09,I19,20
S09,I52,35
S09,I41,8
S09,I54,114
S09,I39,62
S09,I45,15
S09,I42,94
S09,I49,113
S09,I11,99
S09,I25,83
S09,I20,25
S10,I35,81
S10,I59,37
S10,I08,7
S10,I41,6
S10,I54,117
S10,I60,150
S11,I57,62
S11,I40,104
S11,I01,22
S11,I51,61
S11,I45,15
S12,I02,58
S12,I06,5
S12,I20,25
S12,I23,67
S12,I12,71
S12,I36,79
S13,I14,77
S13,I47,29
S13,I15,28
S13,I05,16
S13,I57,94
S13,I54,73
S14,I11,99
S14,I23,100
S14,I49,113
S14,I56,15
S14,I05,55
S14,I30,11
S14,I21,112
S14,I29,68
S15,I32,47
S15,I35,58
S15,I03,127
S15,I13,68
S15,I28,31
S16,I29,26
S16,I43,22
S16,I22,81
S16,I34,53
S16,I48,4
S16,I50,5
S16,I37,21
S16,I55,42
S16,I58,22
S16,I16,11
