Tid,Iid,Sid,ProcureDate,Quantity
char3,char3,char3,date,integer
T01,I24,S01,181010,40
T02,I52,S01,180505,40
T03,I60,S02,190606,38
T04,I39,S02,181213,43
T05,I17,S02,180714,22
T06,I01,S02,190323,50
T07,I57,S11,190430,47
T08,I56,S14,180515,10
T09,I25,S04,180323,22
T10,I56,S04,180929,13
T11,I57,S04,190222,31
T12,I37,S04,190115,15
T13,I12,S05,180909,25
T14,I51,S05,180323,5
T15,I07,S05,190525,28
T16,I09,S05,180818,24
T17,I46,S06,190426,13
T18,I31,S06,190617,19
T19,I27,S07,181014,1
T20,I53,S07,181121,50
T21,I07,S07,180830,17
T22,I26,S08,180229,47
T23,I17,S08,180917,19
T24,I21,S08,190414,29
T25,I51,S09,190331,3
T26,I38,S09,190323,46
T27,I51,S09,180603,4
T28,I59,S10,190519,36
T29,I41,S10,180327,46
T30,I60,S10,181231,13
T31,I57,S11,180930,44
T32,I40,S11,190104,39
T33,I57,S11,190131,7
T34,I02,S12,181224,47
T35,I06,S12,180804,37
T36,I20,S12,190617,40
T37,I14,S13,180728,26
T38,I14,S13,190323,42
T39,I14,S13,181226,10
T40,I11,S14,181128,16
T41,I23,S14,180818,35
T42,I49,S14,190104,10
T43,I32,S15,180327,46
T44,I35,S15,180929,2
T45,I03,S15,181231,7
T46,I22,S16,180818,14
T47,I34,S16,180930,9
T48,I48,S16,180917,41
T49,I26,S08,190414,41
T50,I33,S06,190331,31
T51,I51,S09,190323,41
T52,I02,S12,190707,10
T53,I13,S15,190526,3
T54,I60,S02,190416,36
T55,I37,S04,180202,45
T56,I17,S08,181030,5
T57,I54,S10,190323,48
T58,I12,S12,180505,39
T59,I29,S14,190222,12
T60,I48,S16,180101,38
